PC1,PC2,PC3,PC4,PC5,Partner Name,Region,Cluster
-0.2222134225865868,-0.5632193147109813,1.384938809152724,-0.026513742109607424,-1.3024316043595744e-16,St. Lucia,Other,0
-0.2471962304404814,0.4253521555832736,1.1924949516666101,-0.014229901789379263,-1.266809432735207e-16,Sri Lanka,Other,2
-0.2568480068523972,0.040816691047287156,1.836155040695877,-0.04166855159618227,-1.9547772005922096e-16,Macao,Other,0
-0.24055151180312084,-0.14796916476931232,1.5439776954782034,-0.033059313881104294,-1.6086660342211518e-16,Morocco,Other,0
-0.23311137461197778,-0.4873150447762375,1.6573299896317109,-0.03570101373177376,-1.6342525307687386e-16,Madagascar,Other,0
-0.2136313422708179,-0.6585001522495584,1.2059472654283885,-0.021107611954311052,-1.426479328076096e-16,Maldives,Other,0
-0.20759902400189112,-0.24937173775177204,0.8318338104710938,-0.0032663285131690582,-8.460012837369706e-17,Mexico,North America,0
-0.21407519074580764,-0.7617812153706432,1.3352184231003847,-0.025697447324688344,-1.604308936520499e-16,Mali,Other,0
-0.238609595399291,0.34933955517550375,0.9538192361391655,-0.008027381140829468,-9.739189810158432e-17,Malta,Other,0
-0.217144753999312,0.09821531144971528,0.5309973412926408,0.005636709378637099,-6.450961773775164e-17,Myanmar,Other,0
-0.22517486986996235,-0.21846278225617394,1.1076816078088554,-0.015912603046914907,-1.0208678886551575e-16,Mongolia,Other,0
-0.20542132864645687,-0.8367245166576986,1.1428753664443037,-0.019220023834383346,-1.201224683002835e-16,Mozambique,Other,0
-0.21360637530440185,-0.3510057273534118,0.8609289044723077,-0.009414041268278583,-9.244341495975116e-17,Mauritania,Other,0
-0.25424808653368963,0.8433696700894958,0.9100259910416237,-0.004641854958422786,-7.518569210149869e-17,Montserrat,Other,2
-0.23150904592506136,0.32782342693341576,0.7287601006314277,-0.0006094226897484014,-7.653391748619113e-17,Martinique,Other,0
-0.2640452715186437,0.3143660619820454,1.8185456326847813,-0.037029015621311764,-2.0331589459783722e-16,Mauritius,Other,0
-0.2383961575247446,-0.4140263839453761,1.7501055208963692,-0.03853934740215926,-1.8520305253315506e-16,Malawi,Other,0
-0.23111839651398294,0.7933029598882135,0.10122455151437525,-0.014185019472334203,-1.0257958265822419e-17,Malaysia,Other,2
-0.20025175239716814,-1.0661750040366649,1.2012565708272995,-0.0238899663088755,-1.2566551522096053e-16,New Caledonia,Other,0
-0.23887829188835666,-0.17291471944875839,1.5113968677139384,-0.028899216328783745,-1.6663741673934125e-16,Niger,Other,0
-0.18995572366394506,-1.008473206329128,0.8980365998735129,-0.01145407096980943,-8.640392156205079e-17,Nigeria,Other,0
-0.20430881617192992,-0.8697838699076293,1.1283150103183137,-0.01974931253339252,-1.1708310899935903e-16,Nicaragua,Other,0
-0.14014141934169197,0.4015934903303006,0.245734445887056,0.01809271605237547,-3.2548172525490243e-17,Netherlands,Other,2
-0.21124736243736214,0.09724831347952252,0.5862045325887043,-0.0036698807805394485,-6.065621489650717e-17,Norway,Other,0
-0.25352336347840426,0.17512930768548124,1.6291112206870153,-0.030995624554706072,-1.680439988167083e-16,Nepal,Other,0
-0.19894398838262045,0.15155334316724756,-0.14953736458427108,0.027673416955685776,6.97395085415122e-18,Nauru,Other,0
-0.20702690070169782,0.6974246462971367,-0.35596476890575884,0.02924623112601527,4.305341136948341e-17,New Zealand,Other,2
-0.20440753055801889,-0.8335787485355903,0.9533970559485037,-0.02902470381556891,-1.0961099549471559e-16,Oman,Other,0
